GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC04_MOE_VC10,"Percent Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC05_EST_VC10,"Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
HC05_MOE_VC10,"Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC06_EST_VC10,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
HC06_MOE_VC10,"Percent Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC01_EST_VC11,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC01_MOE_VC11,Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC02_EST_VC11,Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC02_MOE_VC11,Percent; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC03_EST_VC11,Males; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC03_MOE_VC11,Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC04_EST_VC11,Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC04_MOE_VC11,Percent Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC05_EST_VC11,Females; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC05_MOE_VC11,Females; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC06_EST_VC11,Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC06_MOE_VC11,Percent Females; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC01_EST_VC12,"Total; Estimate; Population 25 years and over - Some college, no degree"
HC01_MOE_VC12,"Total; Margin of Error; Population 25 years and over - Some college, no degree"
HC02_EST_VC12,"Percent; Estimate; Population 25 years and over - Some college, no degree"
HC02_MOE_VC12,"Percent; Margin of Error; Population 25 years and over - Some college, no degree"
HC03_EST_VC12,"Males; Estimate; Population 25 years and over - Some college, no degree"
HC03_MOE_VC12,"Males; Margin of Error; Population 25 years and over - Some college, no degree"
HC04_EST_VC12,"Percent Males; Estimate; Population 25 years and over - Some college, no degree"
HC04_MOE_VC12,"Percent Males; Margin of Error; Population 25 years and over - Some college, no degree"
HC05_EST_VC12,"Females; Estimate; Population 25 years and over - Some college, no degree"
HC05_MOE_VC12,"Females; Margin of Error; Population 25 years and over - Some college, no degree"
HC06_EST_VC12,"Percent Females; Estimate; Population 25 years and over - Some college, no degree"
HC06_MOE_VC12,"Percent Females; Margin of Error; Population 25 years and over - Some college, no degree"
HC01_EST_VC13,Total; Estimate; Population 25 years and over - Associate's degree
HC01_MOE_VC13,Total; Margin of Error; Population 25 years and over - Associate's degree
HC02_EST_VC13,Percent; Estimate; Population 25 years and over - Associate's degree
HC02_MOE_VC13,Percent; Margin of Error; Population 25 years and over - Associate's degree
HC03_EST_VC13,Males; Estimate; Population 25 years and over - Associate's degree
HC03_MOE_VC13,Males; Margin of Error; Population 25 years and over - Associate's degree
HC04_EST_VC13,Percent Males; Estimate; Population 25 years and over - Associate's degree
HC04_MOE_VC13,Percent Males; Margin of Error; Population 25 years and over - Associate's degree
HC05_EST_VC13,Females; Estimate; Population 25 years and over - Associate's degree
HC05_MOE_VC13,Females; Margin of Error; Population 25 years and over - Associate's degree
HC06_EST_VC13,Percent Females; Estimate; Population 25 years and over - Associate's degree
HC06_MOE_VC13,Percent Females; Margin of Error; Population 25 years and over - Associate's degree
HC01_EST_VC14,Total; Estimate; Population 25 years and over - Bachelor's degree
HC01_MOE_VC14,Total; Margin of Error; Population 25 years and over - Bachelor's degree
HC02_EST_VC14,Percent; Estimate; Population 25 years and over - Bachelor's degree
HC02_MOE_VC14,Percent; Margin of Error; Population 25 years and over - Bachelor's degree
HC03_EST_VC14,Males; Estimate; Population 25 years and over - Bachelor's degree
HC03_MOE_VC14,Males; Margin of Error; Population 25 years and over - Bachelor's degree
HC04_EST_VC14,Percent Males; Estimate; Population 25 years and over - Bachelor's degree
HC04_MOE_VC14,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree
HC05_EST_VC14,Females; Estimate; Population 25 years and over - Bachelor's degree
HC05_MOE_VC14,Females; Margin of Error; Population 25 years and over - Bachelor's degree
HC06_EST_VC14,Percent Females; Estimate; Population 25 years and over - Bachelor's degree
HC06_MOE_VC14,Percent Females; Margin of Error; Population 25 years and over - Bachelor's degree
HC01_EST_VC15,Total; Estimate; Population 25 years and over - Graduate or professional degree
HC01_MOE_VC15,Total; Margin of Error; Population 25 years and over - Graduate or professional degree
HC02_EST_VC15,Percent; Estimate; Population 25 years and over - Graduate or professional degree
HC02_MOE_VC15,Percent; Margin of Error; Population 25 years and over - Graduate or professional degree
HC03_EST_VC15,Males; Estimate; Population 25 years and over - Graduate or professional degree
HC03_MOE_VC15,Males; Margin of Error; Population 25 years and over - Graduate or professional degree
HC04_EST_VC15,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree
HC04_MOE_VC15,Percent Males; Margin of Error; Population 25 years and over - Graduate or professional degree
HC05_EST_VC15,Females; Estimate; Population 25 years and over - Graduate or professional degree
HC05_MOE_VC15,Females; Margin of Error; Population 25 years and over - Graduate or professional degree
HC06_EST_VC15,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree
HC06_MOE_VC15,Percent Females; Margin of Error; Population 25 years and over - Graduate or professional degree
HC01_EST_VC17,Total; Estimate; Percent high school graduate or higher
HC01_MOE_VC17,Total; Margin of Error; Percent high school graduate or higher
HC02_EST_VC17,Percent; Estimate; Percent high school graduate or higher
HC02_MOE_VC17,Percent; Margin of Error; Percent high school graduate or higher
HC03_EST_VC17,Males; Estimate; Percent high school graduate or higher
HC03_MOE_VC17,Males; Margin of Error; Percent high school graduate or higher
HC04_EST_VC17,Percent Males; Estimate; Percent high school graduate or higher
HC04_MOE_VC17,Percent Males; Margin of Error; Percent high school graduate or higher
HC05_EST_VC17,Females; Estimate; Percent high school graduate or higher
HC05_MOE_VC17,Females; Margin of Error; Percent high school graduate or higher
HC06_EST_VC17,Percent Females; Estimate; Percent high school graduate or higher
HC06_MOE_VC17,Percent Females; Margin of Error; Percent high school graduate or higher
HC01_EST_VC18,Total; Estimate; Percent bachelor's degree or higher
HC01_MOE_VC18,Total; Margin of Error; Percent bachelor's degree or higher
HC02_EST_VC18,Percent; Estimate; Percent bachelor's degree or higher
HC02_MOE_VC18,Percent; Margin of Error; Percent bachelor's degree or higher
HC03_EST_VC18,Males; Estimate; Percent bachelor's degree or higher
HC03_MOE_VC18,Males; Margin of Error; Percent bachelor's degree or higher
HC04_EST_VC18,Percent Males; Estimate; Percent bachelor's degree or higher
HC04_MOE_VC18,Percent Males; Margin of Error; Percent bachelor's degree or higher
HC05_EST_VC18,Females; Estimate; Percent bachelor's degree or higher
HC05_MOE_VC18,Females; Margin of Error; Percent bachelor's degree or higher
HC06_EST_VC18,Percent Females; Estimate; Percent bachelor's degree or higher
HC06_MOE_VC18,Percent Females; Margin of Error; Percent bachelor's degree or higher
